NumIters,Seconds,LearningRate,accuracy,softmax_loss
180000.0,44498.342007,1e-10,0.988281,2.99267
181000.0,44726.220148,1e-11,0.972656,3.01302
182000.0,44983.356462,1e-11,0.96875,3.26639
183000.0,45240.343348,1e-11,0.980469,3.33327
184000.0,45468.470464,1e-11,0.957031,3.15827
185000.0,45724.720351,1e-11,0.976562,3.36326
186000.0,45981.369256,1e-11,0.976562,3.20542
187000.0,46209.685836,1e-11,0.988281,3.36276
188000.0,46466.632015,1e-11,0.957031,3.24877
189000.0,46723.329414,1e-11,0.984375,3.19017
190000.0,46951.610107,1e-11,0.964844,3.15259
191000.0,47208.238773,1e-11,0.992188,3.40043
192000.0,47465.22314,1e-11,0.957031,3.43906
193000.0,47693.116962,1e-11,0.964844,3.23629
194000.0,47949.715184,1e-11,0.972656,2.90768
195000.0,48206.540208,1e-11,0.964844,3.26656
196000.0,48434.679759,1e-11,0.976562,3.46113
197000.0,48691.397871,1e-11,0.964844,3.1737
198000.0,48948.151209,1e-11,0.972656,2.95432
199000.0,49175.957397,1e-11,0.96875,3.55867
200000.0,49433.131893,1e-11,0.988281,2.98942
201000.0,49689.479185,1e-12,0.964844,3.30746
202000.0,49917.641899,1e-12,0.976562,3.13078
203000.0,50174.22245,1e-12,0.964844,3.19314
204000.0,50430.306567,1e-12,0.980469,3.05208
205000.0,50658.337088,1e-12,0.984375,3.20677
206000.0,50915.109182,1e-12,0.980469,3.2039
207000.0,51172.161871,1e-12,0.945312,3.49956
208000.0,51400.163605,1e-12,0.976562,3.16437
209000.0,51656.813671,1e-12,0.960938,3.15999
210000.0,51913.262395,1e-12,0.96875,3.40757
211000.0,52141.392207,1e-12,0.976562,3.12553
212000.0,52398.430027,1e-12,0.96875,2.8931
213000.0,52655.374617,1e-12,0.960938,3.26781
214000.0,52883.342942,1e-12,0.964844,3.15689
215000.0,53139.780352,1e-12,0.980469,3.23283
216000.0,53395.760859,1e-12,0.980469,2.9047
217000.0,53624.342861,1e-12,0.972656,3.12242
218000.0,53880.338847,1e-12,0.984375,3.06295
219000.0,54136.861336,1e-12,0.976562,2.91465
220000.0,54365.272503,1e-12,0.976562,3.01142
221000.0,54621.866313,1e-13,0.976562,3.01137
222000.0,54878.711077,1e-13,0.984375,3.24499
223000.0,55106.418953,1e-13,0.96875,3.25022
224000.0,55363.227963,1e-13,0.957031,2.8489
225000.0,55619.662765,1e-13,0.976562,3.06662
226000.0,55847.540148,1e-13,0.972656,3.14275
227000.0,56104.197172,1e-13,0.96875,3.29213
228000.0,56360.427413,1e-13,0.972656,3.30547
229000.0,56588.286546,1e-13,0.964844,3.16107
230000.0,56846.815878,1e-13,0.988281,3.44196
231000.0,57103.708484,1e-13,0.980469,3.24547
232000.0,57331.815897,1e-13,0.976562,3.10925
233000.0,57588.425195,1e-13,0.984375,3.08896
234000.0,57844.707804,1e-13,0.992188,3.1824
235000.0,58072.757123,1e-13,0.96875,3.22205
236000.0,58328.802686,1e-13,0.964844,3.1632
237000.0,58585.319432,1e-13,0.972656,2.93862
238000.0,58813.235899,1e-13,0.992188,3.27781
239000.0,59069.441648,1e-13,0.972656,3.35808
240000.0,39921.299263,1e-13,0.96875,3.14815
241000.0,40151.008724,1e-14,0.992188,3.12503
242000.0,40407.721885,1e-14,0.964844,3.25009
243000.0,40664.037513,1e-14,0.96875,2.99812
244000.0,40892.085272,1e-14,0.957031,2.97052
245000.0,41148.776412,1e-14,0.96875,3.12765
246000.0,41405.225973,1e-14,0.980469,3.11367
247000.0,41633.136799,1e-14,0.945312,3.45473
248000.0,41889.78328,1e-14,0.953125,3.17193
249000.0,42146.253976,1e-14,0.960938,3.32034
250000.0,42374.988739,1e-14,0.980469,3.08102
251000.0,42631.545949,1e-14,0.972656,3.05848
252000.0,42887.8004,1e-14,0.972656,3.13487
253000.0,43115.833788,1e-14,0.96875,2.9696
254000.0,43372.743595,1e-14,0.96875,3.39284
255000.0,43629.355228,1e-14,0.988281,2.98461
256000.0,43857.468499,1e-14,0.976562,3.19144
257000.0,44114.176572,1e-14,0.980469,3.22449
258000.0,44370.361531,1e-14,0.984375,3.06709
259000.0,44598.0567,1e-14,0.960938,3.28256
260000.0,44854.838575,1e-14,0.980469,3.43505
261000.0,45111.302721,1e-15,0.972656,3.22842
262000.0,45339.160189,1e-15,0.972656,3.32
263000.0,45595.724316,1e-15,0.964844,3.39449
264000.0,45852.181119,1e-15,0.984375,3.29489
265000.0,46080.14301,1e-15,0.964844,3.57485
266000.0,46336.788355,1e-15,0.984375,3.17264
267000.0,46593.07505,1e-15,0.972656,3.18425
268000.0,46821.570902,1e-15,0.988281,3.22708
269000.0,47078.375046,1e-15,0.976562,3.18341
270000.0,47335.309467,1e-15,0.96875,3.18881
271000.0,47563.633323,1e-15,0.96875,3.33493
272000.0,47820.413934,1e-15,0.980469,3.35076
273000.0,48077.066479,1e-15,0.984375,3.46035
274000.0,48304.881588,1e-15,0.972656,3.2414
275000.0,48561.636422,1e-15,0.988281,3.23206
276000.0,48818.423865,1e-15,0.980469,3.39683
277000.0,49046.44688,1e-15,0.972656,3.15692
278000.0,49303.357376,1e-15,0.976562,2.80855
279000.0,49561.332443,1e-15,0.964844,3.23954
280000.0,49789.917073,1e-15,0.980469,3.19633
281000.0,50047.269197,1e-16,0.972656,3.14251
282000.0,50304.06126,1e-16,0.957031,3.05105
283000.0,50532.501892,1e-16,0.980469,3.10703
284000.0,50789.406713,1e-16,0.984375,3.15133
285000.0,51046.326248,1e-16,0.992188,2.96565
286000.0,51274.317811,1e-16,0.960938,3.33026
287000.0,51531.000932,1e-16,0.980469,3.31461
288000.0,51787.372069,1e-16,0.957031,3.4448
289000.0,52015.517602,1e-16,0.96875,3.164
290000.0,52272.451627,1e-16,0.972656,2.99933
291000.0,52529.259744,1e-16,0.96875,3.45098
292000.0,52757.219276,1e-16,0.984375,2.97475
293000.0,53013.873499,1e-16,0.960938,3.10887
